[0. 0.],[0.5 0. ],[0.0074401  0.49722573],
[0.33770492 0.8147541 ],[0.84514502 0.31197982],[0.34514502 0.31197982],
[0.85258512 0.80920555],[0.35258512 0.80920555],[0.86002522 0.30643127],
[0.36002522 0.30643127],[0.86746532 0.803657  ],[0.36746532 0.803657  ],
[0.87490542 0.30088272],[0.37490542 0.30088272],[0.88234552 0.79810845],
[0.38234552 0.79810845],[0.88978562 0.29533417],[0.38978562 0.29533417],
[0.89722573 0.7925599 ],[0.39722573 0.7925599 ],[0.90466583 0.28978562],
[0.40466583 0.28978562],[0.91210593 0.78701135],[0.41210593 0.78701135],
[0.91954603 0.28423707],[0.41954603 0.28423707],[0.92698613 0.7814628 ],
[0.42698613 0.7814628 ],[0.93442623 0.27868852],[0.43442623 0.27868852],
[0.94186633 0.77591425],[0.44186633 0.77591425],[0.94930643 0.27313997],
[0.44930643 0.27313997],[0.95674653 0.7703657 ],[0.45674653 0.7703657 ],
[0.96418663 0.26759142],[0.46418663 0.26759142],[0.97162673 0.76481715],
[0.47162673 0.76481715],[0.97906683 0.26204288],[0.47906683 0.26204288],
[0.98650694 0.7592686 ],[0.48650694 0.7592686 ],[0.99394704 0.25649433],
[0.49394704 0.25649433],[0.00138714 0.75372005],[0.50138714 0.75372005],
[0.00882724 0.25094578],[0.50882724 0.25094578],[0.01626734 0.7481715 ],
[0.51626734 0.7481715 ],[0.02370744 0.24539723],[0.52370744 0.24539723],
[0.03114754 0.74262295],[0.53114754 0.74262295],[0.03858764 0.23984868],
[0.53858764 0.23984868],[0.04602774 0.7370744 ],[0.54602774 0.7370744 ],
[0.05346784 0.23430013],[0.55346784 0.23430013],[0.06090794 0.73152585],
[0.56090794 0.73152585],[0.06834805 0.22875158],[0.56834805 0.22875158],
[0.07578815 0.7259773 ],[0.57578815 0.7259773 ],[0.08322825 0.22320303],
[0.58322825 0.22320303],[0.09066835 0.72042875],[0.59066835 0.72042875],
[0.09810845 0.21765448],[0.59810845 0.21765448],[0.10554855 0.7148802 ],
[0.60554855 0.7148802 ],[0.11298865 0.21210593],[0.61298865 0.21210593],
[0.12042875 0.70933165],[0.62042875 0.70933165],[0.12786885 0.20655738],
[0.62786885 0.20655738],[0.13530895 0.7037831 ],[0.63530895 0.7037831 ],
[0.14274905 0.20100883],[0.64274905 0.20100883],[0.15018916 0.69823455],
[0.65018916 0.69823455],[0.15762926 0.19546028],[0.65762926 0.19546028],
[0.16506936 0.692686  ],[0.66506936 0.692686  ],[0.17250946 0.18991173],
[0.67250946 0.18991173],[0.17994956 0.68713745],[0.67994956 0.68713745],
[0.18738966 0.18436318],[0.68738966 0.18436318],[0.19482976 0.6815889 ],
[0.69482976 0.6815889 ],[0.20226986 0.17881463],[0.70226986 0.17881463],
[0.20970996 0.67604035],[0.70970996 0.67604035],[0.21715006 0.17326608],
[0.71715006 0.17326608],[0.22459016 0.6704918 ],[0.72459016 0.6704918 ],
[0.23203026 0.16771753],[0.73203026 0.16771753],[0.23947037 0.66494325],
[0.73947037 0.66494325],[0.24691047 0.16216898],[0.74691047 0.16216898],
[0.25435057 0.6593947 ],[0.75435057 0.6593947 ],[0.26179067 0.15662043],
[0.76179067 0.15662043],[0.26923077 0.65384615],[0.76923077 0.65384615],
[0.27667087 0.15107188],[0.77667087 0.15107188],[0.28411097 0.6482976 ],
[0.78411097 0.6482976 ],[0.29155107 0.14552333],[0.79155107 0.14552333],
[0.29899117 0.64274905],[0.79899117 0.64274905],[0.30643127 0.13997478],
[0.80643127 0.13997478],[0.31387137 0.6372005 ],[0.81387137 0.6372005 ],
[0.32131148 0.13442623],[0.82131148 0.13442623],[0.32875158 0.63165195],
[0.82875158 0.63165195],[0.33619168 0.12887768],[0.83619168 0.12887768],
[0.34363178 0.6261034 ],[0.84363178 0.6261034 ],[0.35107188 0.12332913],
[0.85107188 0.12332913],[0.35851198 0.62055485],[0.85851198 0.62055485],
[0.36595208 0.11778058],[0.86595208 0.11778058],[0.37339218 0.61500631],
[0.87339218 0.61500631],[0.38083228 0.11223203],[0.88083228 0.11223203],
[0.38827238 0.60945776],[0.88827238 0.60945776],[0.39571248 0.10668348],
[0.89571248 0.10668348],[0.40315259 0.60390921],[0.90315259 0.60390921],
[0.41059269 0.10113493],[0.91059269 0.10113493],[0.41803279 0.59836066],
[0.91803279 0.59836066],[0.42547289 0.09558638],[0.92547289 0.09558638],
[0.43291299 0.59281211],[0.93291299 0.59281211],[0.44035309 0.09003783],
