[0.61143695 0.94227122],[0.42815249 2.06722769],[0.56304985 1.9999226 ],
[0.32258065 1.6922422 ],[0.3797654  3.12487906],[0.08211144 1.3845618 ],
[0.59677419 1.16341651],[0.49120235 0.78843102],[0.35630499 0.85573611],
[0.25073314 0.48075062],[0.30791789 1.91338749],[0.76539589 0.25960534],
[0.46480938 3.1537241 ],[0.35923754 2.77873861],[0.47653959 1.00957631],
[0.23607038 0.70189591],[0.63343109 2.24991292],[0.39296188 1.94223252],
[0.52785924 1.87492744],[0.34457478 2.9998839 ],[0.10410557 2.6922035 ],
[0.56158358 1.03842135],[0.61876833 2.47105821],[0.45601173 0.66343586],
[0.51319648 2.09607272],[0.27272727 1.78839232],[0.83577713 0.50959566],
[0.59530792 0.20191526],[0.73020528 0.13461017],[0.03225806 1.48071192],
[0.54692082 1.25956664],[0.44134897 0.88458115],[0.71554252 0.35575546],
[0.47507331 0.04807506],[0.30938416 2.87488874],[0.76686217 1.22110659],
[0.58357771 2.34606305],[0.47800587 1.97107756],[0.80058651 0.3846005 ],
[0.75219941 1.44225187],[0.51173021 1.13457147],[0.271261   0.82689107],
[0.78592375 0.60574579],[0.68035191 0.2307603 ],[0.49706745 1.35571676],
[0.5483871  2.22106789],[0.42521994 0.14422519],[-0.3856305   2.86527372],
[0.7170088  1.31725671],[0.53372434 2.44221317],[0.75073314 0.48075062],
[0.51026393 0.17307022],[0.64516129 0.10576514],[0.70234604 1.538402  ],
[0.46187683 1.2307216 ],[0.73607038 0.70189591],[0.87096774 0.63459082],
[0.63049853 0.32691042],[0.49853372 2.31721801],[-0.43548387  2.96142385],
[0.66715543 1.41340684],[0.70087977 0.57690075],[-0.35043988  2.99026889],
[0.97507331 0.04807506],[-0.18181818  2.08645771],[-0.36510264  3.21141417],
[-0.23020528  3.14410909],[0.73753666 1.66339716],[-0.19648094  2.307603  ],
[0.66568915 0.45190559],[-0.14516129  3.17295412],[-0.02785924  1.40379182],
[-0.40029326  3.08641901],[0.00879765 2.49028824],[-0.23167155  2.18260784],
[-0.28005865  3.24025921],[-0.19794721  1.34610175],[-0.06304985  1.27879666],
[-0.24633431  2.40375312],[0.2111437  0.74997097],[-0.02932551  0.44229057],
[-0.19501466  3.26910425],[0.07917889 2.74027856],[-0.16129032  2.43259816],
[-0.26686217  2.05761267],[0.24780059 1.83646739],[-0.45014663  3.18256914],
[-0.31524927  3.11526405],[0.00733138 1.52878699],[0.06451613 2.96142385],
[-0.04105572  2.58643836],[-0.28152493  2.27875796],[0.17595308 0.62497581],
[-0.00733138  1.74993227],[-0.11290323  1.37494679],[0.04398827 2.6152834 ],
[0.16129032 0.8461211 ],[-0.07917889  0.5384407 ],[0.26979472 3.14410909],
[0.02932551 2.83642869],[-0.2111437   2.52874829],[-0.07624633  2.4614432 ],
[-0.31671554  2.1537628 ],[0.19794721 1.93261751],[-0.04252199  1.62493711],
[-0.14809384  1.24995162],[-0.09090909  2.68258849],[-0.3313783   2.37490809],
[0.12609971 0.72112594],[-0.05718475  1.8460824 ],[-0.1627566   1.47109691],
[0.40029326 0.19230025],[0.23460411 3.01911392],[-0.0058651   2.71143352],
[-0.11143695  2.33644804],[0.0058651  0.56728574],[0.26832845 2.18260784],
[0.02785924 1.87492744],[0.1627566  1.80762235],[0.21994135 3.24025921],
[-0.07771261  1.49994195],[0.1143695  2.86527372],[-0.02052786  2.93257881],
[0.43695015 1.27879666],[-0.12609971  2.55759332],[0.19648094 0.97111626],
[0.25366569 2.40375312],[-0.04398827  0.66343586],[0.09090909 0.59613077],
[0.14809384 2.02876764],[-0.09237537  1.72108724],[0.04252199 1.65378215],
[0.30498534 3.26910425],[0.36510264 0.06730509],[0.19941349 2.89411876],
[0.18181818 1.19226155],[0.31671554 1.12495646],[0.07624633 0.81727606],
[0.47360704 2.36529307],[0.23313783 2.05761267],[0.35043988 0.28845037],
[0.18475073 3.11526405],[-0.05571848  2.80758365],[0.40175953 1.1538015 ],
[0.45894428 2.58643836],[0.21847507 2.27875796],[0.35337243 2.21145287],
[0.11290323 1.90377247],[-0.12756598  1.59609207],[0.62756598 1.68262719],
[0.38709677 1.37494679],[0.14662757 1.06726639],[0.28152493 0.9999613 ],
[0.04105572 0.6922809 ],[0.09824047 2.12491776],[0.55571848 0.47113561],
[0.31524927 0.16345521],[0.14956012 2.99026889],[0.02639296 0.91342619],
[0.42375367 2.4614432 ],[0.18328446 2.1537628 ],[0.31818182 2.08645771],
[0.07771261 1.77877731],[0.13489736 3.21141417],[0.19501466 0.00961501],
[0.45747801 1.62493711],[0.59237537 1.55763202],[0.35190616 1.24995162],
[0.40909091 2.68258849],[0.11143695 0.94227122],[0.24633431 0.87496614],
[0.30351906 2.307603  ],[0.62609971 0.72112594],[0.06304985 1.9999226 ],
[0.52052786 0.34614045],[0.3856305  0.41344554],[0.35483871 3.17295412],
[0.28005865 0.03846005],[0.3372434  1.47109691],[0.47214076 1.40379182],
[0.23167155 1.09611142],[0.4941349  2.71143352],[0.38856305 2.33644804],
[0.5058651  0.56728574],[0.26539589 0.25960534],[0.09970674 3.08641901],
[0.6627566  1.80762235],[0.42228739 1.49994195],[0.55718475 1.43263686],
[0.37390029 2.55759332],[0.50879765 2.49028824],[0.8313783  0.90381117],
[0.59090909 0.59613077],[0.64809384 2.02876764],[0.48533724 0.22114529],
[0.54252199 1.65378215],[0.30205279 1.34610175],[0.81671554 1.12495646],
[0.57624633 0.81727606],[0.7111437  0.74997097],[0.47067449 0.44229057],
[0.23020528 0.13461017],[0.57917889 2.74027856],[0.33870968 2.43259816],
[0.79618768 0.77881601],[0.61290323 1.90377247],[0.50733138 1.52878699],
[0.26686217 1.22110659],[0.78152493 0.9999613 ],[0.54105572 0.6922809 ],
[0.67595308 0.62497581],[0.43548387 0.31729541],[0.49266862 1.74993227],
[0.81524927 0.16345521],[0.95014663 0.09615012],[0.54398827 2.6152834 ],
[0.66129032 0.8461211 ],[0.42082111 0.5384407 ],[0.57771261 1.77877731],
[0.71260997 1.71147222],[0.69501466 0.00961501],[0.52932551 2.83642869],
[0.74633431 0.87496614],[0.64076246 0.49998065],[0.69794721 1.93261751],
[0.78005865 0.03846005],[0.73167155 1.09611142],[0.90029326 0.19230025],
[0.69648094 0.97111626],[0.86510264 0.06730509],[0.68181818 1.19226155],
[-0.47507331  3.2306442 ],[0.85043988 0.28845037],[-0.20087977  2.70181851],
[-0.16715543  1.86531242],[0.93548387 0.31729541],[0.00146628 0.96150125],
[-0.13049853  2.95180884],[-0.37096774  2.64412844],[-0.23607038  2.57682335],
[0.03812317 2.04799766],[-0.20234604  1.74031726],[-0.25073314  2.79796864],
[-0.35630499  2.42298315],[-0.03372434  0.83650609],[-0.2170088   1.96146255],
[0.8856305  0.41344554],[0.07478006 3.13449407],[-0.16568915  2.82681367],
[0.00293255 1.9230025 ],[-0.23753666  1.6153221 ],[-0.18035191  3.04795896],
[-0.04545455  2.98065387],[-0.28592375  2.67297347],[-0.06891496  0.71151092],
[-0.01173021  2.14414779],[-0.25219941  1.83646739],[-0.11730205  1.7691623 ],
[0.02199413 1.3076417 ],
