[0.20635776 0.68567154],[0.03987069 1.19457953],[0.57435345 0.01995718],
[0.88092672 0.25801777],[0.13793103 0.09693485],[-0.02855603  0.60584284],
[0.64601293 0.17818907],[0.28125   0.5787581],[-0.19181034  0.84960549],
[0.11476293 1.08766608],[0.48275862 0.42195172],[0.31627155 0.9308597 ],
[-0.12015086  1.00783738],[0.24784483 0.34212301],[-0.39170259  1.12187838],
[0.12284483 0.17676356],[0.08135776 0.851031  ],[-0.04364224  0.68567154],
[0.5544181  0.58018361],[0.38793103 1.0890916 ],[0.28286638 0.69422462],
[0.32435345 0.01995718],[0.75592672 0.42337723],[0.15786638 0.52886516],
[0.63092672 0.25801777],[-0.00862069  1.03777314],[0.46443966 0.76692576],
[0.58943966 0.93228521],[0.83243534 0.10121139],[0.66594828 0.61011938],
[-0.07704741  0.44903646],[-0.01023707  1.25302554],[-0.24353448  0.95794444],
[0.59752155 0.02138269],[0.12446121 0.29223007],[0.43103448 0.53029067],
[0.06627155 0.9308597 ],[-0.40678879  1.20170709],[0.37284483 1.1689203 ],
[0.26778017 0.77405332],[0.74084052 0.50320593],[0.1012931 1.2829613],
[0.57435345 1.01211392],[-0.16864224  0.851031  ],[0.13793103 1.0890916 ],
[0.19935345 0.18531663],[0.03286638 0.69422462],[0.50592672 0.42337723],
[-0.13362069  1.2031326 ],[-0.09213362  0.52886516],[0.33943966 0.93228521],
[-0.25862069  1.03777314],[0.70743534 0.26657085],[0.54094828 0.77547883],
[0.109375   0.37205878],[0.58243534 0.10121139],[-0.05711207  0.88096676],
[0.41594828 0.61011938],[0.24946121 1.11902736],[0.31088362 0.2152524 ],
[0.6174569  0.45331299],[0.34752155 0.02138269],[0.18103448 0.53029067],
[-0.29202586  0.80113806],[0.07596983 0.13542369],[0.3825431  0.37348429],
[0.85560345 0.1026369 ],[0.01778017 0.77405332],[-0.1487069  1.2829613],
[0.32435345 1.01211392],[0.69234914 0.34639955],[0.45905172 0.05131845],
[0.52586207 0.85530754],[0.29579741 0.2950811 ],[-0.21713362  0.69422462],
[-0.38362069  1.2031326 ],[0.45743534 0.26657085],[-0.18211207  1.04632622],
[-0.140625    0.37205878],[0.59752155 1.01353943],[-0.30711207  0.88096676],
[0.16594828 0.61011938],[0.29094828 0.77547883],[-5.38793103e-04  1.11902736e+00],
[0.12446121 1.28438682],[0.4924569  0.61867245],[0.06088362 0.2152524 ],
[0.84051724 0.18246561],[-0.10560345  0.72416038],[0.67403017 0.69137359],
[0.3674569  0.45331299],[0.20096983 0.96222098],[0.56896552 0.29650661],
[0.1325431  0.37348429],[-0.03394397  0.88239227],[0.33405172 0.21667791],
[0.16756466 0.72558589],[0.20905172 0.05131845],[0.27586207 0.85530754],
[0.640625   0.45473851],[0.47413793 0.96364649],[0.84213362 0.29793213],
[0.04579741 0.2950811 ],[0.31088362 1.20740914],[-0.12068966  0.80398908],
[0.55387931 0.37633532],[-0.12553879  1.28438682],[0.00915948 0.32359135],
[0.54903017 0.85673305],[0.07596983 1.12758043],[-0.04903017  0.96222098],
[-0.15409483  0.567354  ],[0.31896552 0.29650661],[0.62553879 0.53456721],
[-0.3205819   1.07626198],[0.45905172 1.04347519],[0.19396552 0.13114716],
[0.15247845 0.8054146 ],[-0.01400862  1.31432258],[0.52047414 0.13970023],
[0.82704741 0.37776083],[-0.07758621  0.24518816],[0.66056034 0.88666881],
[-0.28394397  0.88239227],[-0.08243534  0.72558589],[0.390625   0.45473851],
[-0.24892241  1.23449388],[0.22413793 0.96364649],[0.59213362 0.29793213],
[0.42564655 0.80684011],[-0.00592672  0.40342005],[0.06088362 1.20740914],
[0.1955819  0.24661367],[-0.16918103  0.6471827 ],[0.30387931 0.37633532],
[-0.3356681   1.15609069],[0.13739224 0.8852433 ],[0.50215517 0.48467427],
[0.33890086 0.72843692],[0.81196121 0.45758953],[0.33405172 1.20883465],
[-0.09752155  0.8054146 ],[0.20905172 1.04347519],[-0.26400862  1.31432258],
[0.27047414 0.13970023],[0.53556034 1.05202827],[0.57704741 0.37776083],
