[0.12785388 0.14206712],[0.78386606 1.30873949],[0.70015221 0.44126907],
[0.08219178 0.69742039],[0.17199391 0.12377059],[0.65449011 0.99662234],
[0.48097412 0.70280172],[0.2891933  1.19680782],[0.11567732 0.9029872 ],
[0.40334855 1.22263821],[0.71689498 0.19049909],[0.35159817 0.39068457],
[0.8021309  1.22801954],[0.63926941 0.71033558],[0.10045662 0.61670043],
[0.22222222 0.07856742],[0.67275495 0.91590239],[0.33637747 0.1043978 ],
[0.62100457 0.08394875],[0.9086758  0.40359976],[0.73515982 0.10977913],
[0.45357686 1.17743504],[0.543379   0.60378524],[0.36986301 0.30996462],
[0.08828006 1.37762052],[0.00456621 0.5101501 ],[0.85235921 1.18281637],
[0.4870624  1.38300185],[0.32420091 0.86531789],[0.15068493 0.57149726],
[0.89649924 1.16451984],[0.72298326 0.87069922],[0.35768645 1.0708847 ],
[0.64535769 1.39053571],[0.02130898 0.25938011],[0.4718417  1.09671508],
[0.95890411 0.35839659],[0.1065449  1.29690057],[0.59360731 0.55858207],
[0.42009132 0.26476144],[0.70776256 0.58441245],[0.05479452 0.46494692],
[0.34246575 0.78459794],[0.16894977 0.49077731],[0.82952816 0.04627944],
[0.91476408 1.08379989],[0.7412481  0.78997927],[0.57838661 0.27229531],
[0.2130898  0.47248079],[0.03957382 0.17866016],[0.97716895 0.27767664],
[0.695586   1.34533254],[0.52207002 1.05151191],[0.61187215 0.47786212],
[0.15677321 1.25169739],[0.93150685 0.83302991],[0.39269406 0.73939476],
[0.02739726 0.93958024],[0.96499239 1.03859672],[0.31506849 1.25923125],
[0.62861492 0.22709213],[0.26331811 0.42727761],[0.71385084 1.26461258],
[0.08980213 0.13345699],[0.66210046 0.43265894],[0.01217656 0.65329348],
[0.94977169 0.75230995],[0.77625571 0.45848933],[0.13394216 0.11516047],
[0.58447489 0.95249544],[0.4109589  0.65867481],[0.24809741 0.14099085],
[0.0456621  0.85886029],[0.53272451 0.1205418 ],[0.98325723 0.95787677],
[0.82039574 0.44019281],[0.64687976 0.14637218],[0.3652968  1.21402808],
[0.28158295 0.34655766],[0.76407915 1.21940941],[0.06240487 0.60809031],
[0.152207   0.03444051],[0.6347032  0.90729226],[0.26940639 1.10747774],
[0.09589041 0.81365712],[0.38356164 1.13330813],[0.87062405 0.39498963],
[0.69710807 0.10116901],[0.01826484 1.33349361],[0.50532725 0.59517511],
[0.33181126 0.30135449],[0.78234399 1.13868946],[0.6194825 0.6210055],
[0.41704718 1.33887494],[0.25418569 0.82119098],[0.08066971 0.52737035],
[0.82648402 1.12039294],[0.85540335 0.10870287],[0.65296804 0.82657231],
[0.31659056 0.01506772],[0.97260274 1.1817401 ],[0.88888889 0.31426968],
[0.60730594 1.38192558],[0.43378995 1.08810496],[0.52359209 0.51445516],
[0.06849315 1.28829044],[0.75951294 0.00215253],[0.304414   0.77598781],
[0.13089802 0.48216718],[0.87671233 1.07518976],[0.70319635 0.78136914],
[0.05327245 1.00200367],[0.54033486 0.26368518],[0.99086758 1.10102015],
[0.33789954 0.98155462],[0.17503805 0.46387066],[0.62557078 1.30120563],
[0.00152207 0.17005003],[0.45205479 1.007385  ],[0.9391172  0.26906651],
[0.08675799 1.20757048],[0.5738204  0.46925199],[0.86149163 0.788903  ],
[0.68797565 0.49508237],[0.49619482 0.98908848],[0.32267884 0.69526785],
[0.89497717 0.99446981],[0.5585997  0.18296522],[0.19330289 0.38315071],
[0.01978691 0.08933008],[0.95738204 0.18834656],[0.67579909 1.25600246],
[0.59208524 0.38853204],[0.06392694 0.07103356],[0.91171994 0.74369983],
[0.54642314 0.94388531],[0.37290715 0.65006468],[0.18112633 1.14407079],
[0.00761035 0.85025016],[0.94520548 0.94926664],[0.29528158 1.16990117],
[0.1217656  0.87608055],[0.60882801 0.13776205],[0.2435312  0.33794753],
[0.69406393 1.1752825 ],[0.53120244 0.65759854],[0.32876712 1.37546799],
[0.92998478 0.66297987],[0.11415525 0.02583038],[0.56468798 0.86316536],
[0.2283105  0.05166077],[0.96347032 0.86854669],[0.80060883 0.35086273],
[0.62709285 0.0570421 ],[0.34550989 1.124698  ],[0.43531202 0.55104821],
[0.26179604 0.25722758],[0.74429224 1.13007933],[0.58143075 0.61239537],
[0.37899543 1.33026481],[0.21613394 0.81258085],[0.04261796 0.51876023],
[0.49315068 1.3560952 ],[0.98021309 0.6177767 ],[0.78843227 1.11178281],
[0.61491629 0.81796218],[0.90258752 1.13761319],[0.24961948 1.01814766],
[0.53729072 1.33779867],[0.36377473 1.04397805],[0.85083714 0.30565955],
[0.48554033 0.50584503],[0.93607306 1.34318   ],[0.31202435 0.21202441],
[0.59969559 0.53167542],[0.23439878 0.7318609 ],[0.0608828  0.43804027],
[0.99847793 0.53705675],[0.80669711 1.03106286],[0.83561644 0.01937279],
[0.63318113 0.73724223],[0.47031963 0.21955827],[0.10502283 0.41974375],
[0.95281583 1.09241002],[0.86910198 0.2249396 ],[0.58751903 1.2925955 ],
[0.41400304 0.99877488],[0.50380518 0.42512508],[0.04870624 1.19896036],
[0.98630137 1.29797683],[0.82343988 0.78029287],[0.6499239  0.48647225],
[0.45814307 0.98047835],[0.28462709 0.68665773],[0.85692542 0.98585968],
[0.20700152 1.20649422],[0.03348554 0.91267359],[0.52054795 0.1743551 ],
[0.97108067 1.01169007],[0.15525114 0.37454058],[0.60578387 1.21187555],
[0.24048706 1.41206103],[0.91933029 0.17973643],[0.55403349 0.37992191],
[0.84170472 0.69957292],[0.66818874 0.40575229],[0.47640791 0.8997584 ],
[0.30289193 0.60593777],[0.14003044 0.08825381],[0.87519026 0.90513973],
[0.22526636 1.12577427],[0.71232877 0.38745577],[0.53881279 0.09363514],
[0.17351598 0.29382063],[0.65601218 1.16667238],[0.29071537 1.36685786],
[0.40487062 1.39268824],[0.89193303 0.65436975],[0.15829528 0.00753386],
[0.52663623 0.85455523],[0.92541857 0.85993656],[0.27549467 1.08057109],
[0.76255708 0.3422526 ],[0.5890411  0.04843197],[0.39726027 0.54243808],
[0.847793   1.37977305],[0.22374429 0.24861745],[0.67427702 1.08595242],
[0.51141553 0.56826846],[0.30898021 1.2861379 ],[0.14611872 0.76845394],
[0.91019787 0.57364979],[0.74733638 0.05596583],[0.54490107 0.77383527],
[0.46727549 1.29367177],[0.86453577 1.12900306],[0.78082192 0.26153265],
[0.32572298 1.03536792],[0.41552511 0.46171813],[0.89802131 1.33456988],
[0.16438356 0.68773399],[0.56164384 0.52306529],[0.96042618 0.52844662],
[0.40030441 0.17543136],[0.76864536 1.02245273],[0.59512938 0.7286321 ],
[0.03500761 0.37561684],[0.88280061 1.04828311],[0.22983257 0.92881758],
[0.51750381 1.24846859],[0.34398782 0.95464797],[0.83105023 0.21632947],
[0.46575342 0.41651495],[0.91628615 1.25384992],[0.75342466 0.73616596],
[0.57990868 0.44234534],[0.38812785 0.93635145],[0.21461187 0.64253082],
[0.50228311 0.96218183],[0.1369863  1.16236731],[0.45053272 0.13022819],
[0.08523592 0.33041367],[0.93302892 1.00307994],[0.84931507 0.13560952],
[0.19939117 0.35624406],[0.56773212 1.20326542],[0.48401826 0.335795  ],
[0.40639269 0.85563149],[0.80365297 0.69096279],[0.23287671 0.56181087],
[0.63013699 0.39714216],[0.60121766 1.40883223],[0.07001522 0.04412691],
